location_id,county
396,Suffolk
448,Suffolk
452,Suffolk
480,Essex
521,Suffolk
8907,Norfolk
34948,Essex
34949,Essex
36726,Essex
39383,Essex
39503,Essex
41167,Essex
41168,Essex
41324,Essex
41325,Essex
223829,Norfolk
224972,Suffolk
788805,Suffolk
1235987,Suffolk
1236025,Middlesex
1296826,Middlesex
1365107,Norfolk
1915647,Middlesex
2022716,Middlesex
2812816,Essex
2812830,Middlesex
2817783,Suffolk
2876973,Middlesex
3244445,Middlesex
3311202,Middlesex
3339950,Suffolk
4850451,Suffolk
4936305,Middlesex
4982613,Middlesex
5179638,Suffolk
5179639,Suffolk
5179640,Suffolk
5179641,Suffolk
5179642,Suffolk
5179643,Suffolk
5179644,Suffolk
5179645,Suffolk
5397184,Norfolk
5774560,Middlesex
6128159,Essex
6278922,
